"Status","SanctuarySection","ClassType","CollectionName","Title","FileName","FullPath","SizeGB","LastWriteTime","BunnyVideoId","BunnyStatus","UploadedAt","Notes"
"uploaded","Live Studio Classes","Somatic Vinyasa","Live Studio Classes - Somatic Vinyasa","2026-01-19 Monday Somatic Vinyasa 17-57-30","2026-01-19 Monday Somatic Vinyasa 17-57-30 (edited) (rerun).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-01-19 Monday Somatic Vinyasa 17-57-30 (edited) (rerun).mp4","1.19","2026-06-28 19:24:36","373bf1e6-6335-42c9-8b0a-acb2f65d9446","uploaded_to_bunny_processing","2026-06-30 23:42:57",""
"skip_duplicate","Live Studio Classes","Somatic Vinyasa","Live Studio Classes - Somatic Vinyasa","2026-01-19 Monday Somatic Vinyasa 17-57-30","2026-01-19 Monday Somatic Vinyasa 17-57-30 (edited).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-01-19 Monday Somatic Vinyasa 17-57-30 (edited).mp4","1.54","2026-06-25 04:53:07","","","","Older duplicate of rerun export kept out of Bunny upload"
"uploaded","Live Studio Classes","Restorative","Live Studio Classes - Restorative","2026-01-20 Tuesday Restorative 17-35-26","2026-01-20 Tuesday Restorative 17-35-26 (edited).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-01-20 Tuesday Restorative 17-35-26 (edited).mp4","1.57","2026-06-25 17:17:38","dbb8029c-a5c8-4bca-97df-7e2fae0d2920","uploaded_to_bunny_processing","2026-07-01 00:08:48",""
"uploaded","Live Studio Classes","Restorative","Live Studio Classes - Restorative","2026-01-27 Tuesday Restorative 09-49-43","2026-01-27 Tuesday Restorative 09-49-43 (edited).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-01-27 Tuesday Restorative 09-49-43 (edited).mp4","1.65","2026-06-25 17:00:44","fef05173-e42d-4acb-b5f8-eb39952ddf78","uploaded_to_bunny_processing","2026-07-01 00:19:51",""
"uploaded","Live Studio Classes","Restorative","Live Studio Classes - Restorative","2026-01-27 Tuesday Restorative 17-49-56","2026-01-27 Tuesday Restorative 17-49-56 (edited).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-01-27 Tuesday Restorative 17-49-56 (edited).mp4","1.6","2026-06-25 17:25:00","92c4e2ed-8929-4905-952b-1fc5ca04b4d8","uploaded_to_bunny_processing","2026-07-01 00:30:30",""
"uploaded","Live Studio Classes","Restorative","Live Studio Classes - Restorative","2026-02-03 Tuesday Restorative 09-44-49","2026-02-03 Tuesday Restorative 09-44-49 (edited).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-02-03 Tuesday Restorative 09-44-49 (edited).mp4","1.13","2026-06-25 17:32:09","f7c9e634-5e40-4e86-be00-38eed43d3bed","uploaded_to_bunny_processing","2026-07-01 00:37:59",""
"uploaded","Live Studio Classes","Restorative","Live Studio Classes - Restorative","2026-02-03 Tuesday Restorative 17-47-54","2026-02-03 Tuesday Restorative 17-47-54 (edited).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-02-03 Tuesday Restorative 17-47-54 (edited).mp4","1.63","2026-06-25 18:44:51","32c0c874-fd9a-41dc-97e5-bae879228f36","uploaded_to_bunny_processing","2026-07-01 00:48:22",""
"uploaded","Live Studio Classes","Somatic Hatha","Live Studio Classes - Somatic Hatha","2026-02-04 Wednesday Somatikatha 09-44-59","2026-02-04 Wednesday Somatikatha 09-44-59 (edited).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-02-04 Wednesday Somatikatha 09-44-59 (edited).mp4","1.35","2026-06-25 17:56:34","22c2140d-06da-4d6b-8bcd-89c1530ef44a","uploaded_to_bunny_processing","2026-07-01 00:56:31",""
"uploaded","Live Studio Classes","Somatic Vinyasa","Live Studio Classes - Somatic Vinyasa","2026-02-09 Monday Somatic Vinyasa 17-43-58","2026-02-09 Monday Somatic Vinyasa 17-43-58 (edited).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-02-09 Monday Somatic Vinyasa 17-43-58 (edited).mp4","1.53","2026-06-25 18:51:46","28a021e9-ad26-4842-b3c4-1310bc2768b4","uploaded_to_bunny_processing","2026-07-01 01:06:03",""
"uploaded","Live Studio Classes","Restorative","Live Studio Classes - Restorative","2026-02-10 Tuesday Restorative 09-43-52","2026-02-10 Tuesday Restorative 09-43-52 (edited).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-02-10 Tuesday Restorative 09-43-52 (edited).mp4","1.17","2026-06-25 18:07:44","286f4edd-76da-49b7-8b5e-bb29fdb6fb5d","uploaded_to_bunny_processing","2026-07-01 01:13:28",""
